listing_id,neighborhood_impact_score,hotel_keywords_found,human_keywords_found
1233898065532719520,0,0,0
1233990548423109276,0,0,0
1234337601603909178,0,0,1
1235412004589098804,1,1,0
1235939050724103300,0,0,0
1236835839918623113,1,3,0
1238921131643763517,-1,0,3
1239005135068135841,0,0,1
1239596326622114300,0,0,0
1240668220235233365,0,0,0
1241881037104140215,0,0,0
1241963243927133366,1,1,0
1242554745066883852,0,0,1
1244000113039277040,0,0,0
1244207848763794271,0,1,3
1244726299650710852,0,0,0
1245470669322309055,0,0,0
1245533428748324952,0,1,3
1245552332686988799,0,1,2
12461590,0,0,0
1246561488709565230,-1,1,4
1247586160737996294,0,1,2
1247689884359406059,-1,0,4
1248521657577828228,0,0,0
12490398,0,0,0
1249107313120302439,0,0,2
1249211110430434950,0,1,1
1250073842674457206,0,1,2
12505796,0,1,1
1252162775696675026,0,0,1
1252781379309868238,-1,0,3
1254060483817840472,0,0,0
1254925047411897005,0,1,2
1254925049189075487,0,1,1
1254925056440134640,0,0,2
1254925064752703033,-1,0,3
1256784512920329869,0,0,2
1257004738522230204,1,1,0
12575495,0,0,0
1257806454319409462,0,0,0
1259326386832443047,0,0,0
12593463,-1,2,5
1261411182045512784,0,0,1
1261793342680983600,1,1,0
1262483047846412809,-1,1,4
1262972553457417050,0,0,0
1263013698430086435,0,0,0
1263197379356872782,0,0,0
1263614746853906032,0,1,1
1263721468122291275,0,0,0
1263797711040382595,-1,2,6
1264280663103818517,0,0,0
1265102289707323124,0,0,2
1265711776849440287,0,0,0
12661406,0,1,3
1266532253011883811,0,0,0
12666900,0,1,3
1267958512625252170,0,0,0
12682231,-1,0,3
1268232027856886692,0,0,1
1268239358569299617,0,0,1
1269303791003848605,1,1,0
1269493351548755227,-1,0,7
1269493351566155313,-1,0,3
1269493520264076912,0,0,2
1269494188115535130,-1,0,6
1269494188198311155,-1,0,5
1269561851679224854,0,0,0
1270056156796467013,0,0,2
1271817977921885736,0,1,1
1272440379259864615,0,2,2
1272489086802481226,0,2,3
1272615347044029360,0,0,0
1272818527248687654,0,2,3
1275118952980820130,0,1,2
1275557477315609484,1,2,0
1275837505041808017,1,1,0
1276702153702321112,0,0,1
12826279,0,0,2
1283236604218480987,1,1,0
1283244657463277799,0,0,0
1284572246056631015,-1,0,7
1284606734534449533,1,1,0
1284709166259439880,-1,1,6
1285364319884947120,0,0,0
1285496674837706980,0,0,1
1285498139587761956,0,0,0
1285510217140851327,0,0,0
1286084136478152023,0,0,0
1287672584926630071,0,0,0
